,id,edit_history_tweet_ids,author_id,text,Sentiment
73,1589456530331820032,['1589456530331820032'],1427385614383685635,"RT @NSFWFoxSinner: TW:insinuated drug use 

He got zooted and now he horni boi XD 

#nsfw #oc #nsfwoc https://t.co/OEA7cIwTRW",0.0
74,1589455785582813185,['1589455785582813185'],3306463093,@ASmilerSince06 @DominicQuayso12 @britmebaby @mckaylaknows Dont forget the drug use. And not just weed. He likes sniffing cocaine from boobies of some chick in a bar,0.0
75,1589455345138958341,['1589455345138958341'],118312058,RT @GreaterHarlem: @NYCMayor Safe consumption sites will exacerbate drug use &amp; dealing unless they are widely &amp; equitably distributed throu…,0.2
76,1589455188385222657,['1589455188385222657'],48035511,RT @ryanjespersen: I’ll be thinking about this interview for a while. It takes a brave person to speak so candidly about their own drug use…,0.6666666666666666
77,1589455002241994754,['1589455002241994754'],36795376,@MysterySolvent Disqualified for drug use,0.0
78,1589454943676952577,['1589454943676952577'],1327468124891979777,"RT @LostCauze: Drake drug use references are always funny because it's always the tiniest amount of drugs. He be like ""...and I'm bout to t…",0.25
79,1589454889834647553,['1589454889834647553'],1172910930662846464,"RT @citizenj17: 2/3 who poop on sidewalks and walk like they own the place. 2) law enforcement: unlike SF, Japan wouldn’t allow tents on si…",0.6
80,1589454686733889537,['1589454686733889537'],857193948024066049,"RT @bowen1953: @donwinslow @Sen_JoeManchin @POTUS Take it from someone who lives in WV, this is 100% accurate. There are 3 things that WV e…",0.4000000000000001
81,1589454178019315712,['1589454178019315712'],397765811,"@jboschan But criminologists have long noted that everyone breaks the law. Not to mention that the concept of crime implies that many unalike things are the same (public urination, murder, drug selling, drug use, petty theft, fare evasion) and have common causes.",0.030000000000000006
82,1589453689693302784,['1589453689693302784'],757649054981615616,"RT @Puppy_Whines: // drug use
sketch for a little poppers comic https://t.co/jIaIGMuaOm",0.03125
83,1589453439263985664,['1589453439263985664'],1140677826561138694,"@FoxNews Kid Rock, proof that lack of talent can be outweighed but drug use",0.0
84,1589453427264094208,['1589453427264094208'],1509191387278987272,"RT @kylenabecker: Covid lockdowns, vaccine mandates &amp; mask hysteria will fuel increased anxiety, depression &amp; suicide, alcoholism &amp; drug us…",0.0
85,1589453398851850240,['1589453398851850240'],1119821766,"@TinaKotek ""stoking fear"" your as myopic as sleepy Joe...the fear is real...go walk the streets of downtown Portland you will see drug use, vulgarity and feel fear ! #VoteRedToSaveAmerica2022",0.0
86,1589452847401562112,['1589452847401562112'],1486504058827407368,"prison are part of the chains of criminalising oppression, poverty, drug use and not having access to housing and food. #valsmob",0.0
87,1589451864122494977,['1589451864122494977'],1587416423462105088,"@TomFitton 😂🤣 Misinformation is whatever the NYT is printing/publishing on any given day. 🤡
When a report of male prostitution and drug use suddenly disappears from the record... I tend to give more weight to it. The MSM elites prefer us to 'Always believe the last version of the story.'",0.125
88,1589451388182233088,['1589451388182233088'],2925079799,RT @CrimeInNYC: Welcome to a world where drug addiction and open-air drug use is condoned. This is very close to the location in the previo…,0.5
89,1589451075886907392,['1589451075886907392'],465769032,"RT @MLLanzillotta1: Prohibition doesn't prevent drug use, it simply pushes drug use underground. This makes it much more dangerous. The sam…",-0.033333333333333326
90,1589450710265245696,['1589450710265245696'],757649054981615616,"RT @Puppy_Whines: //cw drug use
She had a little bit too much catnip~ https://t.co/NKr2PFaiy7",0.0062500000000000056
91,1589450314721083393,['1589450314721083393'],1420607714,"RT @TimmayMN: @StephenM If you’re wondering, here are the states with the worst fentanyl problems.

And no, the US Senators for these state…",-1.0
92,1589449678210617345,['1589449678210617345'],1383714175721955337,RT @AlexStevensKent: A thread on studies by some US economists of the ‘moral hazard’ of harm reduction practices: i.e. the idea that harm r…,0.0
93,1589449192241434624,['1589449192241434624'],1146872797186220032,"@WingoProtection @plainbobnat @profjoanmeier @DrEmmaKatz And no where in the discussion is the role of alcohol abuse, problematic drinking and drug use.",0.0
94,1589448795527708672,['1589448795527708672'],2193381726,"@retiredPhlADA You are 100% correct that the drug trafficking and drug use problems are driving much (if not most) of #Philly crime. That won't change unless there's immediate referral to treatment upon police contact for those using. For those dealing, immediate referral to jail.",-0.049999999999999996
95,1589448735658246145,['1589448735658246145'],1353314900496551938,"Flight Sergeant Amara Kel
FC Dove Cameron
3 ABY timeframe
Age:  21 yrs old
Callsign:  Shadow
Serves onboard the ISS ""Magister""
Warning:  Adult situations and drug use ahead
Please don't follow if you are not 18.
Wife 
@SW_Howl_Parody

Not affiliated with Disney or LucasArt https://t.co/PFlOv9CK1U",0.1
96,1589448684571594753,['1589448684571594753'],930570373,"📣🥳🤝 Can you develop &amp; communicate NUAA's positions on issues that affect people who use drugs in NSW, such as stigma, discrimination, criminalisation of drug use, policing and treatment access?  💊💉✊🏽🗣
⁠
✍️ ⏰Apply by Nov 25: https://t.co/QPPcLH45sW https://t.co/3vlAUS6e9C",0.0
97,1589448132370522113,['1589448132370522113'],1234283953835642881,RT @fasc1nate: What Was Drug Use Like in Viking Culture? https://t.co/s7dvoMTPBm https://t.co/Ga5ikJeiAw,0.0
98,1589447503468195841,['1589447503468195841'],1175529926751076353,"RT @bowen1953: @donwinslow @Sen_JoeManchin @POTUS Take it from someone who lives in WV, this is 100% accurate. There are 3 things that WV e…",0.4000000000000001
99,1589447425118588930,['1589447425118588930'],14435148,RT @kennykatherine: Stay tuned for the (imminent!) publication of her PhD research that goes into much greater detail on people's experienc…,0.5
